"!symbol / month","!symbol / month"
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"In test mode amounts with decimal places fail. Only xx.00 is accepted","In test mode amounts with decimal places fail. Only xx.00 is accepted."
"In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason","In test mode amounts with decimal places fail. Only xx.00 is accepted: !originalReason"
"In test mode amounts with decimal places fail: !originalReason","In test mode amounts with decimal places fail: !originalReason. The amount has to be (XX.00)"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Information","Information"
"Installment","Installment"
"Interest Fee","Interest fee"
"Interest Rate","Interest Rate"
"Invalid login or password.","Invalid login or password."
"Invoice","Invoice"
"Invoice Fee","Invoice Fee"
"Invoice Items","Invoice Items"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Invoice Totals"
"Invoice settlement","Invoice settlement"
"Invoice was created successfully","Invoice was successfully created"
"Invoices","Invoices"
"Issue Number","Issue Number"
"Issuing Bank","Issuing Bank"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Klarna: Shared Secret","Klarna: Shared Secret"
"Laser","Laser"
"Learn More","Learn More"
"Live Environment","Live Environment"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"MOTO Shared Secret Connect Interface","MOTO Shared Secret Connect Interface"
"MOTO Shared Secret Connect Interface (Test)","MoTo Shared Secret Connect Interface (Test)"
"MOTO Store ID","MoTo Store ID"
"MOTO Store ID (Test)","MoTo Store ID (Test)"
"Maestro","Maestro"
"Maestro UK","Maestro UK"
"Mail order/telephone order authorization","Mail order/telephone order authorization"
"Male","Male"
"Manage Stores","Manage Stores"
"Manage FirstData Connect Aliases","Manage FirstData Connect Aliases"
"Mandate Reference","Mandate Reference"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Order Confirmation"
"Maximum Order Total","Maximal order total"
"Message","Message"
"Method Title","Method Title"
"Method information","Method information"
"Minimal Monthly Payment","Minimal Monthly Payment"
"Minimum Order Total","Minimum order total"
"Missing requried parameters","Missing requried parameters"
"MoTo","MoTo"
"MoTo FirstData Connect API Password","MoTo FirstData Connect API Password"
"MoTo FirstData Connect API Password (Test)","MoTo FirstData Connect API Password (Test)"
"MoTo FirstData Connect API User Id","MoTo FirstData Connect API User ID"
"MoTo FirstData Connect API User Id (Test)","MoTo FirstData Connect API User Id (Test)"
"Mobile","Mobile"
"Month","Month"
"Moto Client Certificate Passphrase","Moto Client Certificate Passphrase"
"Moto Client Certificate Passphrase (Test)","Moto Client Certificate Passphrase (Test)"
"My FirstData Connect Aliases","My FirstData Connect Aliases"
"New Order","New Ordern"
"New Order Status","New order status"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","No"
"No Items","No Items"
"No Store ID was provided.","No Store ID was provided"
"No additional payment information available.","No additional payment information available"
"No authorization method found for payment method !method.","No authorization method found for payment method !method."
"No button returned.","No button returned."
"No day set in the date of birth field.","No day set in the date of birth field."
"No hash provided","No hash provided"
"No month set in the date of birth field.","No month set in the date of birth field."
"No refund possible.","No refund possible"
"No shipping method needed.","No shipping method needed."
"No year set in the date of birth field.","No year set in the date of birth field."
"No, use the dropdown.","No, use the dropdown menu."
"None","None"
"Not enrolled","Not enrolled"
"Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Operation Mode","Operation mode"
"Order #","Order Number"
"Order Grand Total","Order Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Summary","Order Summary"
"Order Total","Order total"
"Order cancelled, because the customer was too long in the payment process of FirstData Connect.","Order cancelled because the customer was in the payment process of FirstData Connect for too long."
"Order prefix","Order prefix"
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
